node	degree
37434	66
18312	61
40372	58
46793	74
48507	77
56071	76
26325	147
17430	48
16760	101
11033	542
15137	133
28455	100
5503	106
20157	99
1729	86
49327	88
25626	34
42837	14
30488	132
55255	71
54410	114
18557	65
30639	744
32964	199
45906	55
2166	114
46566	17
16414	179
7910	22
42658	53
27881	77
48168	49
39642	51
11516	39
36073	39
13132	283
13225	111
22800	63
39971	39
54474	71
5838	396
10485	111
32503	47
51185	55
54328	63
31766	88
12604	83
358	79
21203	143
18696	155
5907	260
53993	73
5362	75
48354	44
6635	47
17179	37
34578	51
42095	80
48753	214
31898	112
9314	39
11284	116
29709	106
1998	101
50445	157
2834	105
9897	151
1216	212
56529	58
33696	51
52483	58
5201	18
20281	13
39465	29
17754	24
54919	67
40289	52
23020	77
47267	75
52707	167
23316	69
35100	190
46020	26
21337	173
32949	88
34436	237
15598	58
35066	22
57169	60
4240	47
5738	60
25420	53
306	72
51734	28
51680	73
44845	95
36603	27
37397	18
50683	14
7458	22
39131	18
51222	81
46369	72
19106	199
9223	95
48605	84
15794	142
17955	85
54174	40
12826	23
13054	50
9441	73
14192	124
34207	19
57987	34
35588	39
10903	22
48020	27
48216	2847
6640	62
30143	42
16478	52
46334	65
36682	124
28057	58
46812	38
32229	74
25351	38
10562	44
5260	24
36632	112
40595	258
26208	71
12409	62
1886	60
44039	13
42661	213
26812	38
11461	31
11342	40
16407	114
48524	60
23025	55
26396	7
40327	33
9671	16
51585	19
46984	26
25852	64
17166	20
14018	113
29253	103
2743	5
26374	318
50568	158
24282	30
37567	65
21854	65
435	69
55343	39
52503	52
47249	54
42455	70
33526	109
10305	47
11266	80
12284	61
10295	74
9092	19
24545	31
45966	110
34037	113
37852	89
47099	83
25678	87
48542	64
2781	16
24148	74
37725	162
4713	6
35062	37
22307	124
9136	176
26492	121
54987	95
28171	88
8278	66
30076	64
47598	54
35487	61
42579	67
29700	76
57841	80
46672	150
613	139
52965	132
10397	158
2346	72
15779	62
7893	51
44072	100
4227	135
18857	27
2911	23
34821	85
45124	102
22703	130
41840	74
25553	72
33505	51
1014	103
35373	17
5080	197
49517	92
50959	52
37739	16
38030	17
24816	14
6497	96
15045	150
45899	88
26796	68
39181	72
36201	349
34422	129
42510	1365
40694	56
3614	45
52983	50
44302	108
28238	68
50038	102
49481	81
36092	19
11016	29
19327	60
8415	50
