node	kcore
37434	19
18312	19
40372	19
46793	19
48507	22
56071	22
26325	22
17430	20
16760	22
11033	59
15137	22
28455	22
5503	22
20157	22
1729	22
49327	22
25626	18
42837	8
30488	19
55255	19
54410	19
18557	19
30639	36
32964	20
45906	19
2166	51
46566	15
16414	63
7910	13
42658	19
27881	17
48168	15
39642	16
11516	15
36073	14
13132	23
13225	22
22800	20
39971	19
54474	22
5838	24
10485	22
32503	19
51185	20
54328	19
31766	22
12604	22
358	22
21203	22
18696	29
5907	39
53993	25
5362	19
48354	18
6635	19
17179	19
34578	19
42095	23
48753	24
31898	22
9314	16
11284	24
29709	52
1998	19
50445	20
2834	22
9897	32
1216	32
56529	20
33696	19
52483	21
5201	9
20281	9
39465	12
17754	10
54919	19
40289	20
23020	19
47267	19
52707	19
23316	19
35100	23
46020	20
21337	30
32949	22
34436	48
15598	22
35066	18
57169	16
4240	17
5738	31
25420	20
306	22
51734	10
51680	14
44845	18
36603	12
37397	10
50683	10
7458	9
39131	8
51222	22
46369	22
19106	22
9223	22
48605	22
15794	24
17955	20
54174	18
12826	16
13054	22
9441	22
14192	22
34207	16
57987	21
35588	20
10903	16
48020	16
48216	41
6640	18
30143	18
16478	18
46334	19
36682	25
28057	20
46812	19
32229	19
25351	19
10562	20
5260	19
36632	22
40595	103
26208	22
12409	19
1886	19
44039	12
42661	45
26812	16
11461	17
11342	18
16407	16
48524	11
23025	10
26396	6
40327	10
9671	9
51585	12
46984	16
25852	19
17166	15
14018	19
29253	25
2743	5
26374	54
50568	32
24282	18
37567	19
21854	19
435	19
55343	19
52503	19
47249	19
42455	19
33526	19
10305	19
11266	19
12284	15
10295	21
9092	12
24545	12
45966	24
34037	25
37852	19
47099	22
25678	19
48542	18
2781	9
24148	21
37725	38
4713	5
35062	16
22307	36
9136	56
26492	53
54987	36
28171	30
8278	17
30076	22
47598	20
35487	17
42579	22
29700	22
57841	19
46672	19
613	19
52965	19
10397	24
2346	22
15779	22
7893	22
44072	22
4227	22
18857	13
2911	9
34821	19
45124	19
22703	19
41840	19
25553	19
33505	19
1014	19
35373	13
5080	32
49517	22
50959	10
37739	8
38030	8
24816	8
6497	22
15045	22
45899	22
26796	22
39181	20
