node	pagerank
37434	2.3001964535568777e-05
18312	2.2515999070455946e-05
40372	1.6781213853591303e-05
46793	2.031341317500955e-05
48507	2.645930837142173e-05
56071	2.5565905423457465e-05
26325	4.8427278482880814e-05
17430	1.4643121553851476e-05
16760	2.4841408645069804e-05
11033	0.00012062515531597156
15137	4.312347413556249e-05
28455	3.4829806273875316e-05
5503	2.3665937606205195e-05
20157	2.0318273376574363e-05
1729	2.1895460308423766e-05
49327	2.0264649094505776e-05
25626	1.2997786982906988e-05
42837	7.0303074192377005e-06
30488	4.7277650271032376e-05
55255	2.409737397611642e-05
54410	4.069574953508304e-05
18557	2.1862057764986315e-05
30639	0.00021477862628055196
32964	6.160962813372182e-05
45906	1.5710295228251348e-05
2166	1.5367589175189888e-05
46566	5.623174454624476e-06
16414	2.6654148014801813e-05
7910	8.821611676969322e-06
42658	2.1216561558179038e-05
27881	3.325697796672958e-05
48168	2.7637710661724844e-05
39642	2.783653725052532e-05
11516	2.001553048928634e-05
36073	2.0271505836291195e-05
13132	8.737796420984099e-05
13225	3.6635539142999374e-05
22800	2.060322642229218e-05
39971	1.3897022798982e-05
54474	2.180237910062575e-05
5838	0.0001131686424843573
10485	3.2397999063581425e-05
32503	1.537843353322548e-05
51185	1.814209922799746e-05
54328	2.3455844227071946e-05
31766	2.7893055863700288e-05
12604	1.7302342939435873e-05
358	2.0105432809790796e-05
21203	3.546562884662374e-05
18696	5.677505947888545e-05
5907	7.938686656321045e-05
53993	2.8815617057090247e-05
5362	2.638639002711153e-05
48354	1.7142282809313046e-05
6635	1.4231977615573797e-05
17179	7.667575516864847e-06
34578	1.3494577909579876e-05
42095	1.8553536005736364e-05
48753	5.016132206696355e-05
31898	4.365890465695782e-05
9314	1.9904639457260775e-05
11284	2.9077854273208494e-05
29709	1.5165433577105533e-05
1998	4.208805664106016e-05
50445	5.616609941163317e-05
2834	2.228485472644811e-05
9897	3.402602484768874e-05
1216	5.2878067601457084e-05
56529	1.941325858983602e-05
33696	1.924785860428476e-05
52483	1.4931460209053228e-05
5201	1.5022772479431727e-05
20281	1.0238251562325642e-05
39465	1.5055197936978838e-05
17754	1.5367224634876337e-05
54919	1.920398641434691e-05
40289	1.7938652766776376e-05
23020	2.4259410077425816e-05
47267	2.3237974066583297e-05
52707	4.9754341342451685e-05
23316	2.31570337546808e-05
35100	5.074952832531935e-05
46020	9.749459849832022e-06
21337	3.748518826347191e-05
32949	2.398003818294031e-05
34436	5.2785333153931394e-05
15598	1.5704469386123473e-05
35066	6.9807867887401375e-06
57169	3.2395001285788144e-05
4240	2.794203204986144e-05
5738	1.4618712886648357e-05
