node	eigenvec
461	0.006189574141895726
30669	0.0028247966374015396
7427	0.0013577246955929633
1797	0.000370149855155159
30549	0.0021484024274759568
23653	0.0007539630169892716
13094	0.000815760148357745
37505	0.0008823440625132051
50318	0.0032104549845219576
24056	0.0031494460654292534
37756	0.004086596734242491
15197	0.006723179774065524
40653	0.006773256765398978
39273	0.013551165110049588
42264	0.006224539170620779
33394	0.00820560821294904
5143	0.008870137245806325
42331	0.01064804068182596
15884	0.011351627530679233
42180	0.009005694689072136
48769	0.017984910847075954
35671	0.0032825290691839543
28445	0.003345826848639444
42641	0.007356152563348148
8140	0.005746927574593423
4690	0.0007566718533302862
29417	0.0010470130983236722
2707	0.0008491576191570724
41069	0.0006613360316497233
17332	0.0005644334854991566
36806	0.000225587174053105
7459	0.0003216486040628635
3364	0.00029020434597775563
28245	0.0018548979416063644
32195	0.0027781830508086906
14867	0.002550294790783397
12276	0.00020706202725020583
4815	1.01574484663087e-05
23209	0.0003079686925818455
42677	0.0006239528280297309
39779	0.005021685618666834
12497	0.005654247924342105
29161	0.0021327369803095016
43591	0.019470233934617116
31482	0.007434436284659357
19346	0.005829839974602885
25945	0.003300770318723607
40001	0.0008875408683768807
10352	0.0014829001981836358
17113	0.02062426438657684
46432	0.016403604381438824
39558	0.01456085020673899
42386	0.00847963908181294
14095	0.004097889738191442
20036	0.007240870663512286
14559	0.006879222728960118
56685	0.000489692959628966
15402	0.0008326155031755381
29969	0.00019892904277757557
11264	0.0008447135963693946
14374	0.0012053090053470693
36905	0.0027192744771816603
54229	0.005262404396514086
21115	0.0029235811123013307
32160	0.035618225883932056
28991	0.0005014010216153122
27373	0.0016337416171492293
2161	0.002801019858684566
33679	0.0016780600743027826
10217	0.0018163245713951493
17124	0.00888999551151739
46789	0.007409473464023369
43553	0.0022889239914117275
37808	0.008867649685170504
6232	0.010983926049269482
17154	0.011894703073478995
3157	0.022408309704378935
22701	0.009942506602154694
30384	0.0015739132510909951
25399	0.0014080330226842095
28670	0.0027574175395409938
6658	0.009391470133166132
11298	0.0014872223295710884
31701	0.0015705882891336707
9020	4.139267807250967e-05
44414	2.85361445273557e-05
6384	0.008636690117847382
26936	0.0003697993564818113
49098	0.0014059500109525839
35273	0.0005822156001026615
44459	0.0009300630496654711
56718	0.0010125874972359075
22589	0.0060600660870937205
16563	0.014847608633588912
58264	0.01717426213422357
29323	0.020407742836087466
19394	0.024681814109498223
28347	0.002847294532334336
4623	0.0007793596430747387
19297	0.0013098822838815245
22175	0.00013772423606554573
53018	0.00015772123213585493
43174	0.001727081275626809
260	0.0070865495289389475
42220	0.007197829293987888
44065	4.562062091347207e-05
52231	0.00017833984276195353
23442	0.00308360420513268
22685	0.004105381512850067
7037	0.0012897230830325492
23988	0.0014747868339521253
42948	0.004998927337253728
43874	8.145122102409214e-05
8021	0.009769562594099095
34002	0.005629018313903042
50287	0.023576844476864568
37840	0.02347403356880082
27133	0.002895562009437479
57779	0.003874882000534344
10355	0.002592413744651056
42949	0.0007370033005156817
48263	0.00228458841979527
